desc,code,ref,created_by,created_date
N/A,0,No Information,1,2021-05-04 00:00:00
Kangar,1,Kangar,1,2021-05-04 00:00:00
Kuala Perlis,2,Kuala Perlis,1,2021-05-04 00:00:00
Padang Besar,3,Padang Besar,1,2021-05-04 00:00:00
Kaki Bukit,4,Kaki Bukit,1,2021-05-04 00:00:00
Arau,5,Arau,1,2021-05-04 00:00:00
Simpang Ampat,6,Simpang Ampat,1,2021-05-04 00:00:00
Alor Setar,7,Alor Setar,1,2021-05-04 00:00:00
Jitra,8,Jitra,1,2021-05-04 00:00:00
Changloon,9,Changloon,1,2021-05-04 00:00:00
Universiti Utara Malaysia,10,Universiti Utara Malaysia,1,2021-05-04 00:00:00
Bukit Kayu Hitam,11,Bukit Kayu Hitam,1,2021-05-04 00:00:00
Kodiang,12,Kodiang,1,2021-05-04 00:00:00
Ayer Hitam,13,Ayer Hitam,1,2021-05-04 00:00:00
Kepala Batas,14,Kepala Batas,1,2021-05-04 00:00:00
Kuala Nerang,15,Kuala Nerang,1,2021-05-04 00:00:00
Pokok Sena,16,Pokok Sena,1,2021-05-04 00:00:00
Langgar,17,Langgar,1,2021-05-04 00:00:00
Kuala Kedah,18,Kuala Kedah,1,2021-05-04 00:00:00
Simpang Empat,19,Simpang Empat,1,2021-05-04 00:00:00
Pendang,20,Pendang,1,2021-05-04 00:00:00
Kota Sarang Semut,21,Kota Sarang Semut,1,2021-05-04 00:00:00
Yan,22,Yan,1,2021-05-04 00:00:00
Langkawi,23,Langkawi,1,2021-05-04 00:00:00
Sungai Petani,24,Sungai Petani,1,2021-05-04 00:00:00
Bedong,25,Bedong,1,2021-05-04 00:00:00
Sik,26,Sik,1,2021-05-04 00:00:00
Gurun,27,Gurun,1,2021-05-04 00:00:00
Jeniang,28,Jeniang,1,2021-05-04 00:00:00
Merbok,29,Merbok,1,2021-05-04 00:00:00
Kota Kuala Muda,30,Kota Kuala Muda,1,2021-05-04 00:00:00
Kulim,31,Kulim,1,2021-05-04 00:00:00
Baling,32,Baling,1,2021-05-04 00:00:00
Kuala Pegang,33,Kuala Pegang,1,2021-05-04 00:00:00
Kupang,34,Kupang,1,2021-05-04 00:00:00
Kuala Ketil,35,Kuala Ketil,1,2021-05-04 00:00:00
Padang Serai,36,Padang Serai,1,2021-05-04 00:00:00
Lunas,37,Lunas,1,2021-05-04 00:00:00
Karangan,39,Karangan,1,2021-05-04 00:00:00
Serdang,40,Serdang,1,2021-05-04 00:00:00
Pulau Pinang,41,Pulau Pinang,1,2021-05-04 00:00:00
Balik Pulau,42,Balik Pulau,1,2021-05-04 00:00:00
Batu Ferringhi,43,Batu Ferringhi,1,2021-05-04 00:00:00
Tanjong Bungah,44,Tanjong Bungah,1,2021-05-04 00:00:00
Tanjung Bungah,45,Tanjung Bungah,1,2021-05-04 00:00:00
Penang Hill,46,Penang Hill,1,2021-05-04 00:00:00
Ayer Itam,47,Ayer Itam,1,2021-05-04 00:00:00
Jelutong,48,Jelutong,1,2021-05-04 00:00:00
Gelugor,49,Gelugor,1,2021-05-04 00:00:00
USM Pulau Pinang,50,USM Pulau Pinang,1,2021-05-04 00:00:00
Bayan Lepas,51,Bayan Lepas,1,2021-05-04 00:00:00
Batu Maung,52,Batu Maung,1,2021-05-04 00:00:00
