desc,code,ref,created_by,created_date
N/A,0,No Information,1,2021-05-04 00:00:00
AFGHAN,AFG,Afghanistan,1,2021-05-04 00:00:00
,ALB,Albania,1,2021-05-04 00:00:00
ALGERIAN,DZA,Algeria,1,2021-05-04 00:00:00
,ASM,American Samoa,1,2021-05-04 00:00:00
,AND,Andorra,1,2021-05-04 00:00:00
,AGO,Angola,1,2021-05-04 00:00:00
,AIA,Anguilla,1,2021-05-04 00:00:00
,ATA,Antartica,1,2021-05-04 00:00:00
,ATG,Antigua And Barbuda,1,2021-05-04 00:00:00
ARGENTINIAN,ARG,Argentina,1,2021-05-04 00:00:00
,ARM,Armenia,1,2021-05-04 00:00:00
,ABW,Aruba,1,2021-05-04 00:00:00
AUSTRALIAN,AUS,Australia,1,2021-05-04 00:00:00
AUSTRIAN,AUT,Austria,1,2021-05-04 00:00:00
,AZE,Azerbaijan,1,2021-05-04 00:00:00
,BHS,Bahamas,1,2021-05-04 00:00:00
BAHRAINI,BHR,Bahrain,1,2021-05-04 00:00:00
BANGLADESHI,BGD,Bangladesh,1,2021-05-04 00:00:00
,BRB,Barbados,1,2021-05-04 00:00:00
BELARUSIAN,BLR,Belarus,1,2021-05-04 00:00:00
BELGIAN,BEL,Belgium,1,2021-05-04 00:00:00
BELIZIAN,BLZ,Belize,1,2021-05-04 00:00:00
,BEN,Benin,1,2021-05-04 00:00:00
,BMU,Bermuda,1,2021-05-04 00:00:00
,BTN,Bhutan,1,2021-05-04 00:00:00
,BOL,Bolivia,1,2021-05-04 00:00:00
,BIH,Bosnia And Herzegovina,1,2021-05-04 00:00:00
,BWA,Botswana,1,2021-05-04 00:00:00
,BVT,Bouvet Island,1,2021-05-04 00:00:00
BRAZILIAN,BRA,Brazil,1,2021-05-04 00:00:00
,IOT,British Indian Ocean Territory,1,2021-05-04 00:00:00
BRUNEIAN,BRN,Brunei Darussalam,1,2021-05-04 00:00:00
BULGARIAN,BGR,Bulgaria,1,2021-05-04 00:00:00
,BFA,Burkina Faso,1,2021-05-04 00:00:00
,BDI,Burundi,1,2021-05-04 00:00:00
CAMBODIAN,KHM,Cambodia,1,2021-05-04 00:00:00
CAMEROONIAN,CMR,Cameroon,1,2021-05-04 00:00:00
CANADIAN,CAN,Canada,1,2021-05-04 00:00:00
,CPV,Cape Verde,1,2021-05-04 00:00:00
,CYM,Cayman Islands,1,2021-05-04 00:00:00
,CAF,Central African Republic,1,2021-05-04 00:00:00
,TCD,Chad,1,2021-05-04 00:00:00
CHILEAN,CHL,Chile,1,2021-05-04 00:00:00
CHINESE,CHN,China,1,2021-05-04 00:00:00
,CXR,Christmas Island,1,2021-05-04 00:00:00
,CCK,Cocos (Keeling) Islands,1,2021-05-04 00:00:00
COLOMBIAN,COL,Colombia,1,2021-05-04 00:00:00
,COM,Comoros,1,2021-05-04 00:00:00
,COG,Congo (Zaire),1,2021-05-04 00:00:00
,COD,"Congo, The Democratic Republic Of The",1,2021-05-04 00:00:00
,COK,Cook Island,1,2021-05-04 00:00:00
,CRI,Costa Rica,1,2021-05-04 00:00:00
,CIV,Cote Divoire,1,2021-05-04 00:00:00
CROATIAN,HRV,Croatia,1,2021-05-04 00:00:00
,CUB,Cuba,1,2021-05-04 00:00:00
,CYP,Cyprus,1,2021-05-04 00:00:00
CZECH,CZE,Czech Republic,1,2021-05-04 00:00:00
DANE,DNK,Denmark,1,2021-05-04 00:00:00
,DJI,Djibouti,1,2021-05-04 00:00:00
,DMA,Dominia,1,2021-05-04 00:00:00
,DOM,Dominican Republic,1,2021-05-04 00:00:00
,TMP,East Timor,1,2021-05-04 00:00:00
EGYPTIAN,EGY,Egypt,1,2021-05-04 00:00:00
,SLV,El Salvador,1,2021-05-04 00:00:00
ECUADOREAN,ECU,Equador,1,2021-05-04 00:00:00
,GNQ,Equatorial Guinea,1,2021-05-04 00:00:00
ERITREAN,ERI,Eritrea,1,2021-05-04 00:00:00
ESTONIAN,EST,Estonia,1,2021-05-04 00:00:00
,ETH,Ethiopia,1,2021-05-04 00:00:00
FALKLAND ISLANDER,FLK,Falkland Islands (Malvinas),1,2021-05-04 00:00:00
,FRO,Faroe Islands,1,2021-05-04 00:00:00
FIJIAN,FJI,Fiji,1,2021-05-04 00:00:00
FINN,FIN,Finland,1,2021-05-04 00:00:00
FRENCH,FRA,France,1,2021-05-04 00:00:00
FRENCH GUIANESE,GUF,French Guiana,1,2021-05-04 00:00:00
FRENCH POLYNESIAN,PYF,French Polynesia,1,2021-05-04 00:00:00
,ATF,French Southern Territories,1,2021-05-04 00:00:00
,GAB,Gabon,1,2021-05-04 00:00:00
,GMB,Gambia,1,2021-05-04 00:00:00
,GEO,Georgia,1,2021-05-04 00:00:00
GERMAN,DEU,Germany,1,2021-05-04 00:00:00
GHANAIAN,GHA,Ghana,1,2021-05-04 00:00:00
,GIB,Gibraltar,1,2021-05-04 00:00:00
,GRC,Greece,1,2021-05-04 00:00:00
,GRL,Greenland,1,2021-05-04 00:00:00
,GRD,Grenada,1,2021-05-04 00:00:00
