desc,code,ref,created_by,created_date
N/A,0,No Information,1,2021-05-04 00:00:00
Main Diagnosis,1,Main Diagnosis,1,2021-05-04 00:00:00
Cause of Death,2,Cause of Death,1,2021-05-04 00:00:00
Underlying Cause of Death,3,Underlying Cause of Death,1,2021-05-04 00:00:00
External Cause,4,External Cause,1,2021-05-04 00:00:00
Complication,5,Complication,1,2021-05-04 00:00:00
CO-MORBIDITY,6,CO-MORBIDITY,1,2021-05-04 00:00:00
Factors Influencing Health Status and Contact With Health Services ,7,Factors Influencing Health Status and Contact With Health Services ,1,2021-05-04 00:00:00
Others,8,Others,1,2021-05-04 00:00:00
Underlying Cause,9,Underlying Cause,1,2021-05-04 00:00:00
