desc,code,ref,created_by,created_date
N/A,0,No Information,1,2021-05-04 00:00:00
,0,Home,1,2021-05-04 00:00:00
,0,Discharge Against Medical Advice (DAMA) / At Own Risk (AOR),1,2021-05-04 00:00:00
ABSCONDED,0,Absconded,1,2021-05-04 00:00:00
,0,Change To Hospital,1,2021-05-04 00:00:00
DEATH,0,Deceased,1,2021-05-04 00:00:00
,0,Ward,1,2021-05-04 00:00:00
OTHERS,0,No Information,1,2021-05-04 00:00:00
DISCHARGE ON MEDICAL ADVICE,0,No Information,1,2021-05-04 00:00:00
TRANSFERRED TO GOVERNMENT HOSPITAL,0,Change To Hospital,1,2021-05-04 00:00:00
TRANSFERRED TO PRIVATE HOSPITAL,0,Change To Hospital,1,2021-05-04 00:00:00
SELF DISCHARGED AGAINST MEDICAL ADVICE,0,No Information,1,2021-05-04 00:00:00
