desc,code,ref,created_by,created_date
N/A,0,No Information,1,2021-05-04 00:00:00
Malay,1,Melayu,1,2021-05-04 00:00:00
Chinese ,2,Cina,1,2021-05-04 00:00:00
Indian ,3,India,1,2021-05-04 00:00:00
Orang Asli Semenanjung,4,Orang Asli Semenanjung,1,2021-05-04 00:00:00
Bajau,5,Bajau,1,2021-05-04 00:00:00
Dusun,6,Dusun,1,2021-05-04 00:00:00
Kadazan,7,Kadazan,1,2021-05-04 00:00:00
Murut,8,Murut,1,2021-05-04 00:00:00
Other Bumiputera Sabah,10,Bumiputera Sabah Lain,1,2021-05-04 00:00:00
Melanau,11,Melanau,1,2021-05-04 00:00:00
Kedayan,12,Kedayan,1,2021-05-04 00:00:00
Iban,13,Iban,1,2021-05-04 00:00:00
Bidayuh,14,Bidayuh,1,2021-05-04 00:00:00
Other Bumiputera Sarawak,15,Bumiputera Sarawak Lain,1,2021-05-04 00:00:00
Others ,99,Lain-lain,1,2021-05-04 00:00:00
,17,Bukan Warganegara,1,2021-05-04 00:00:00
Melayu Sarawak,99,Lain-lain,1,2021-05-04 00:00:00
