desc,code,ref,created_by,created_date
N/A,0,No Information,1,2021-05-04 00:00:00
,1,Agriculture and Fisheries,1,2021-05-04 00:00:00
,2,Art and Talent,1,2021-05-04 00:00:00
,3,Information Technology,1,2021-05-04 00:00:00
,4,Legal,1,2021-05-04 00:00:00
,5,Manufacturing,1,2021-05-04 00:00:00
,6,Mining,1,2021-05-04 00:00:00
,7,Oil and Gas,1,2021-05-04 00:00:00
,8,Service,1,2021-05-04 00:00:00
,9,Telecommunication,1,2021-05-04 00:00:00
,10,Transportation,1,2021-05-04 00:00:00
,11,Building and Construction,1,2021-05-04 00:00:00
,12,Education,1,2021-05-04 00:00:00
,13,Medical and Health,1,2021-05-04 00:00:00
OTHERS,99,Others,1,2021-05-04 00:00:00
PROFESSIONALS/EXECUTIVES,99,Others,1,2021-05-04 00:00:00
OPERATORS/TECHNICIANS,99,Others,1,2021-05-04 00:00:00
NATIONAL SERVICEMEN,99,Others,1,2021-05-04 00:00:00
STUDENTS,99,Others,1,2021-05-04 00:00:00
HOUSEWIVES,99,Others,1,2021-05-04 00:00:00
TOURISTS,99,Others,1,2021-05-04 00:00:00
Procurement Manager,99,Others,1,2021-05-04 00:00:00
