desc,code,ref,created_by,created_date
N/A,0,No Information,1,2021-05-04 00:00:00
,1,Wife,1,2021-05-04 00:00:00
,2,Husband,1,2021-05-04 00:00:00
MOTHER,3,Mother,1,2021-05-04 00:00:00
FATHER,4,Father,1,2021-05-04 00:00:00
,5,Biological Child,1,2021-05-04 00:00:00
,6,Step Child,1,2021-05-04 00:00:00
,7,Adopted Child,1,2021-05-04 00:00:00
,9,Grandmother,1,2021-05-04 00:00:00
,10,Grandfather,1,2021-05-04 00:00:00
,11,Sibling,1,2021-05-04 00:00:00
,12,Guardian,1,2021-05-04 00:00:00
,13,Self,1,2021-05-04 00:00:00
OTHER,99,Others,1,2021-05-04 00:00:00
SPOUSE,99,Others,1,2021-05-04 00:00:00
SON,99,Others,1,2021-05-04 00:00:00
DAUGHTER,99,Others,1,2021-05-04 00:00:00
MOTHER-IN-LAW,99,Others,1,2021-05-04 00:00:00
FATHER-IN-LAW,99,Others,1,2021-05-04 00:00:00
BROTHER-IN-LAW,99,Others,1,2021-05-04 00:00:00
SISTER-IN-LAW,99,Others,1,2021-05-04 00:00:00
SISTER,11,Sibling,1,2021-05-04 00:00:00
BROTHER,11,Sibling,1,2021-05-04 00:00:00
GRANDPARENT,99,Others,1,2021-05-04 00:00:00
