desc,code,ref,created_by,created_date
N/A,0,No Information,1,2021-05-04 00:00:00
,0,Medicine,1,2021-05-04 00:00:00
GENERAL MEDICINE,0,General Medicine,1,2021-05-04 00:00:00
CARDIOLOGY,0,Cardiology,1,2021-05-04 00:00:00
,0,Clinical Haematology,1,2021-05-04 00:00:00
DERMATOLOGY,0,Dermatology,1,2021-05-04 00:00:00
,0,Endocrinology,1,2021-05-04 00:00:00
GASTROENTEROLOGY,0,Gastroenterology,1,2021-05-04 00:00:00
,0,Geriatric,1,2021-05-04 00:00:00
,0,Hepatology,1,2021-05-04 00:00:00
,0,Infectious Disease,1,2021-05-04 00:00:00
INTERNAL MEDICINE,0,Advanced Internal Medicine,1,2021-05-04 00:00:00
,0,Medical Oncology,1,2021-05-04 00:00:00
NEPHROLOGY,0,Nephrology,1,2021-05-04 00:00:00
NEUROLOGY,0,Neurology,1,2021-05-04 00:00:00
,0,Palliative Care,1,2021-05-04 00:00:00
,0,Respiratory Medicine,1,2021-05-04 00:00:00
,0,Rheumatology,1,2021-05-04 00:00:00
,0,Surgery,1,2021-05-04 00:00:00
GENERAL SURGERY,0,General Surgery,1,2021-05-04 00:00:00
,0,Breast & Endocrine Surgery,1,2021-05-04 00:00:00
,0,Burns & Trauma Surgery,1,2021-05-04 00:00:00
,0,Cardiothoracic Surgery,1,2021-05-04 00:00:00
,0,Colorectal Surgery,1,2021-05-04 00:00:00
,0,Surgical Oncology,1,2021-05-04 00:00:00
,0,Hepatopancreaticobiliary (HPB) Surgery,1,2021-05-04 00:00:00
NEURO SURGERY,0,Neurosurgery,1,2021-05-04 00:00:00
,0,Paediatric Surgery,1,2021-05-04 00:00:00
PLASTIC SURGERY,0,Plastic & Reconstructive Surgery ,1,2021-05-04 00:00:00
,0,Thoracic Surgery,1,2021-05-04 00:00:00
,0,Upper Gastrointestinal Surgery,1,2021-05-04 00:00:00
UROLOGY,0,Urology,1,2021-05-04 00:00:00
,0,Vascular Surgery,1,2021-05-04 00:00:00
