desc,code,ref,created_by,created_date
N/A,0,No Information,1,2021-05-04 00:00:00
Johor,1,Johor,1,2021-05-04 00:00:00
Kedah,2,Kedah,1,2021-05-04 00:00:00
Kelantan,3,Kelantan,1,2021-05-04 00:00:00
Melaka,4,Melaka,1,2021-05-04 00:00:00
Negeri Sembilan,5,Negeri Sembilan,1,2021-05-04 00:00:00
Pahang,6,Pahang,1,2021-05-04 00:00:00
Pulau Pinang,7,Pulau Pinang,1,2021-05-04 00:00:00
Perak,8,Perak,1,2021-05-04 00:00:00
Perlis,9,Perlis,1,2021-05-04 00:00:00
Selangor,10,Selangor,1,2021-05-04 00:00:00
Terengganu,11,Terengganu,1,2021-05-04 00:00:00
Sabah,12,Sabah,1,2021-05-04 00:00:00
Sarawak,13,Sarawak,1,2021-05-04 00:00:00
Wilayah Persekutuan Kuala Lumpur,14,Wilayah Persekutuan Kuala Lumpur,1,2021-05-04 00:00:00
Wilayah Persekutuan Labuan,15,Wilayah Persekutuan Labuan,1,2021-05-04 00:00:00
Wilayah Persekutuan Putrajaya,16,Wilayah Persekutuan Putrajaya,1,2021-05-04 00:00:00
Luar Negeri,98,Luar Negeri,1,2021-05-04 00:00:00
Others,99,Others,1,2021-05-04 00:00:00
