desc,code,ref,created_by,created_date
N/A,0,No Information,1,2021-05-04 00:00:00
,C001,Tun,1,2021-05-04 00:00:00
,C002,Tan Sri,1,2021-05-04 00:00:00
,C003,Tan Sri Dato',1,2021-05-04 00:00:00
,C004,Tan Sri Dato' Dr,1,2021-05-04 00:00:00
,C005,Tan Sri Dato' Ir,1,2021-05-04 00:00:00
,C006,Tan Sri Dato Seri,1,2021-05-04 00:00:00
,C007,Tan Sri Datuk ,1,2021-05-04 00:00:00
,C008,Tan Sri Datuk  Dr,1,2021-05-04 00:00:00
,C009,Tan Sri Datuk  Professor,1,2021-05-04 00:00:00
,C010,Tan Sri Datuk  Professor Dr,1,2021-05-04 00:00:00
,C011,Tan Sri Dr,1,2021-05-04 00:00:00
,C012,Tan Sri General,1,2021-05-04 00:00:00
,C013,Tan Sri Professor,1,2021-05-04 00:00:00
DATO,C014,Dato',1,2021-05-04 00:00:00
,C015,Dato' Dr,1,2021-05-04 00:00:00
,C016,Dato' Ir,1,2021-05-04 00:00:00
,C017,Dato' Ir Dr,1,2021-05-04 00:00:00
,C018,Dato' Paduka Dr,1,2021-05-04 00:00:00
,C019,Dato' Professor Madya Dr,1,2021-05-04 00:00:00
,C020,Dato' Senara Muda,1,2021-05-04 00:00:00
,C021,Dato' Seri,1,2021-05-04 00:00:00
,C022,Dato' Sri,1,2021-05-04 00:00:00
DATUK,C024,Datuk,1,2021-05-04 00:00:00
,C025,Datuk Amar,1,2021-05-04 00:00:00
,C026,Datuk Bentara Luar,1,2021-05-04 00:00:00
,C027,Datuk Bentara Raja,1,2021-05-04 00:00:00
,C028,Datuk Dr,1,2021-05-04 00:00:00
,C029,Datuk Ir,1,2021-05-04 00:00:00
,C030,Datuk Patinggi,1,2021-05-04 00:00:00
,C031,Datuk Professor,1,2021-05-04 00:00:00
,C032,Datuk Professor Dr,1,2021-05-04 00:00:00
,C033,Datuk Setia,1,2021-05-04 00:00:00
,C034,Datuk Setia Wangsa,1,2021-05-04 00:00:00
,C035,Datuk Sri,1,2021-05-04 00:00:00
,C036,Datuk Sri Amar DiRaja,1,2021-05-04 00:00:00
,C037,Datuk Sri Dr,1,2021-05-04 00:00:00
,C038,Datuk Wira,1,2021-05-04 00:00:00
,C039,Datuk Wira Jaya,1,2021-05-04 00:00:00
DR,C040,Doktor,1,2021-05-04 00:00:00
,C041,Ir,1,2021-05-04 00:00:00
,C042,Ir Dr,1,2021-05-04 00:00:00
,C047,Major,1,2021-05-04 00:00:00
,C048,Professor,1,2021-05-04 00:00:00
,C049,Professor DiRaja,1,2021-05-04 00:00:00
,C050,Professor Dr,1,2021-05-04 00:00:00
,C051,Professor Madya,1,2021-05-04 00:00:00
,C052,Professor Madya Dr,1,2021-05-04 00:00:00
,C053,Datu,1,2021-05-04 00:00:00
MR,L001,Encik,1,2021-05-04 00:00:00
,L002,Tuan,1,2021-05-04 00:00:00
,L003,Haji,1,2021-05-04 00:00:00
,P001,To' Puan,1,2021-05-04 00:00:00
,P002,Toh Puan,1,2021-05-04 00:00:00
,P003,Puan Sri,1,2021-05-04 00:00:00
,P004,Puan Sri Datin,1,2021-05-04 00:00:00
,P005,Puan Sri Datin Professor,1,2021-05-04 00:00:00
,P006,Puan Sri Dr,1,2021-05-04 00:00:00
,P007,Puan Sri Utama,1,2021-05-04 00:00:00
DATIN,P008,Datin,1,2021-05-04 00:00:00
,P009,Datin Amar,1,2021-05-04 00:00:00
,P010,Datin Dr,1,2021-05-04 00:00:00
,P011,Datin Paduka,1,2021-05-04 00:00:00
,P012,Datin Patinggi,1,2021-05-04 00:00:00
,P013,Datin Professor,1,2021-05-04 00:00:00
,P014,Datin Professor Dr,1,2021-05-04 00:00:00
,P015,Datin Setia,1,2021-05-04 00:00:00
,P016,Datin Sri,1,2021-05-04 00:00:00
,P017,Datin Sri Cempaka,1,2021-05-04 00:00:00
,P018,Datin Sri Dr,1,2021-05-04 00:00:00
MS.,P019,Cik ,1,2021-05-04 00:00:00
MRS,P020,Puan,1,2021-05-04 00:00:00
,P021,Hajjah,1,2021-05-04 00:00:00
