desc,code,ref,created_by,created_date
N/A,0,No Information,1,2021-05-04 00:00:00
,1,1st Class,1,2021-05-04 00:00:00
,2,2nd Class,1,2021-05-04 00:00:00
,3,3rd Class,1,2021-05-04 00:00:00
VIP,4,VIP/Royal Class,1,2021-05-04 00:00:00
,97,Others / Not Relevant,1,2021-05-04 00:00:00
SINGLE,97,Others / Not Relevant,1,2021-05-04 00:00:00
COTW,97,Others / Not Relevant,1,2021-05-04 00:00:00
LAB_ORIENTAL,97,Others / Not Relevant,1,2021-05-04 00:00:00
HDU,97,Others / Not Relevant,1,2021-05-04 00:00:00
OP,97,Others / Not Relevant,1,2021-05-04 00:00:00
ICU,97,Others / Not Relevant,1,2021-05-04 00:00:00
DELUXE,97,Others / Not Relevant,1,2021-05-04 00:00:00
ISO,97,Others / Not Relevant,1,2021-05-04 00:00:00
DOUBLESUP,97,Others / Not Relevant,1,2021-05-04 00:00:00
DOUBLE,97,Others / Not Relevant,1,2021-05-04 00:00:00
HSTD,97,Others / Not Relevant,1,2021-05-04 00:00:00
ISOW,97,Others / Not Relevant,1,2021-05-04 00:00:00
PAEDISOCOT,97,Others / Not Relevant,1,2021-05-04 00:00:00
FOUR,97,Others / Not Relevant,1,2021-05-04 00:00:00
RECV,97,Others / Not Relevant,1,2021-05-04 00:00:00
PAEDCOT,97,Others / Not Relevant,1,2021-05-04 00:00:00
MATESEPTCOT,97,Others / Not Relevant,1,2021-05-04 00:00:00
LAB_GRIBBLES,97,Others / Not Relevant,1,2021-05-04 00:00:00
DPU,97,Others / Not Relevant,1,2021-05-04 00:00:00
MATECOT,97,Others / Not Relevant,1,2021-05-04 00:00:00
DSUBAY,97,Others / Not Relevant,1,2021-05-04 00:00:00
LAB_RSH,97,Others / Not Relevant,1,2021-05-04 00:00:00
DENT-STRAITS,97,Others / Not Relevant,1,2021-05-04 00:00:00
